familia,parametros,auc,auc_desvio,log_loss,log_loss_desvio,brier,auc_dobras
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 31, ""max_iter"": 400, ""learning_rate"": 0.05, ""l2_regularization"": 0.1}",0.6631012846538853,0.01444981637634237,0.6327623364634511,0.008336330661506889,0.22183115028237732,"[0.6766879020409421, 0.6642553430211011, 0.6575105581276216, 0.6415536299042364, 0.6754989901755251]"
gradient boosting,"{""min_samples_leaf"": 100, ""max_leaf_nodes"": 31, ""max_iter"": 400, ""learning_rate"": 0.1, ""l2_regularization"": 10.0}",0.6620215745542453,0.015003558061191672,0.6332666095358526,0.008243510164160426,0.22204366082035004,"[0.6761237288729558, 0.6623894299628724, 0.6572579754728304, 0.6393972991463154, 0.6749394393162521]"
gradient boosting,"{""min_samples_leaf"": 100, ""max_leaf_nodes"": 7, ""max_iter"": 200, ""learning_rate"": 0.2, ""l2_regularization"": 10.0}",0.6632157293349493,0.014560752291958067,0.6327159548172628,0.008415453429641924,0.2217956063418342,"[0.6770928963028837, 0.664495016388624, 0.6568222505712633, 0.6418846362176257, 0.6757838471943499]"
gradient boosting,"{""min_samples_leaf"": 20, ""max_leaf_nodes"": 7, ""max_iter"": 200, ""learning_rate"": 0.02, ""l2_regularization"": 0.1}",0.6628345564381632,0.014456589616234009,0.6335018900855487,0.008741525978460282,0.22207170001605384,"[0.6774276309444619, 0.6642347602376448, 0.6588979376368276, 0.6404833125418266, 0.6731291408300557]"
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 63, ""max_iter"": 200, ""learning_rate"": 0.2, ""l2_regularization"": 0.0}",0.6601784720728759,0.014974683794926242,0.6346273808570334,0.00801812037172718,0.22257835878901405,"[0.6734941099213632, 0.6617737529801659, 0.6554075458407662, 0.6371788630817523, 0.6730380885403321]"
gradient boosting,"{""min_samples_leaf"": 200, ""max_leaf_nodes"": 31, ""max_iter"": 200, ""learning_rate"": 0.05, ""l2_regularization"": 0.1}",0.6631053457903373,0.015246599237952532,0.632745595112896,0.008652601183022763,0.2218113708591055,"[0.6780593064775213, 0.6633113372776991, 0.6585379913408385, 0.6400719461132142, 0.6755461477424132]"
gradient boosting,"{""min_samples_leaf"": 20, ""max_leaf_nodes"": 15, ""max_iter"": 200, ""learning_rate"": 0.05, ""l2_regularization"": 0.0}",0.6635044318363603,0.014349776950198902,0.6324345741161361,0.008576447320559765,0.22167799112719497,"[0.6775018858116774, 0.6640109619638372, 0.6597477261089998, 0.641463245298191, 0.6747983399990964]"
gradient boosting,"{""min_samples_leaf"": 100, ""max_leaf_nodes"": 63, ""max_iter"": 200, ""learning_rate"": 0.1, ""l2_regularization"": 10.0}",0.6628283534264586,0.014621793692848651,0.6329257656692968,0.008355278717064653,0.22191040385619173,"[0.6767584506623961, 0.6632545950827824, 0.6580268804209166, 0.6408425469667972, 0.6752592939994007]"
gradient boosting,"{""min_samples_leaf"": 20, ""max_leaf_nodes"": 63, ""max_iter"": 200, ""learning_rate"": 0.05, ""l2_regularization"": 1.0}",0.6614929084724074,0.014892881345647892,0.6331448209536819,0.008462841156571544,0.22200642420743208,"[0.6749000187694614, 0.6626217892452445, 0.6585134593589295, 0.6379591773090836, 0.6734700976793179]"
gradient boosting,"{""min_samples_leaf"": 50, ""max_leaf_nodes"": 15, ""max_iter"": 100, ""learning_rate"": 0.05, ""l2_regularization"": 0.0}",0.663871715116779,0.013931317273983114,0.6324694831077677,0.008496270838316783,0.2216756345840399,"[0.6774017870181626, 0.6649722834364777, 0.6591010283300928, 0.6428066289424113, 0.6750768478567507]"
