id_municipio,nome,sigla_uf,rede_nome,alunos,prob_bater_meta,taxa_real,bateu_meta
2307601,Limoeiro do Norte,CE,Municipal,524,96.2,89.6,1
2307635,Madalena,CE,Municipal,187,96.1,95.3,1
2308500,Mombaça,CE,Municipal,415,96.2,93.5,1
2308906,Morrinhos,CE,Municipal,269,96.1,97.8,1
2309102,Mulungu,CE,Municipal,108,95.1,88.9,1
2309409,Novo Oriente,CE,Municipal,334,96.5,100.0,1
2309508,Orós,CE,Municipal,224,95.8,90.8,1
2310902,Piquet Carneiro,CE,Municipal,152,96.5,100.0,1
2311108,Porteiras,CE,Municipal,252,96.3,92.1,1
2311231,Potiretama,CE,Municipal,79,95.9,97.5,1
2311306,Quixadá,CE,Municipal,811,96.2,92.5,1
2311355,Quixelô,CE,Municipal,154,95.4,88.5,1
2311504,Quixeré,CE,Municipal,175,96.2,93.1,1
2311702,Reriutaba,CE,Municipal,199,96.3,98.5,1
2311801,Russas,CE,Municipal,763,96.1,94.6,1
2311959,Salitre,CE,Municipal,253,94.5,98.4,1
2312106,Santana do Cariri,CE,Municipal,172,94.1,96.4,1
2312502,São João do Jaguaribe,CE,Municipal,55,95.2,96.0,1
2312809,Senador Sá,CE,Municipal,113,95.6,99.1,1
2312908,Sobral,CE,Municipal,2307,94.9,98.6,1
2313252,Tarrafas,CE,Municipal,97,93.3,91.6,1
2313302,Tauá,CE,Municipal,527,95.9,92.0,1
2313401,Tianguá,CE,Municipal,1093,96.1,86.1,1
2313609,Ubajara,CE,Municipal,451,96.3,95.1,1
2313955,Varjota,CE,Municipal,205,94.0,98.1,1
2400901,Antônio Martins,RN,Estadual,14,51.4,78.6,1
2400901,Antônio Martins,RN,Municipal,34,5.6,37.7,0
2401453,Baraúna,RN,Municipal,183,3.0,44.5,0
2401503,Barcelona,RN,Municipal,21,12.6,74.3,1
2402402,Carnaúba dos Dantas,RN,Municipal,58,30.0,29.9,0
2403251,Parnamirim,RN,Municipal,1330,4.9,35.3,0
2403301,Encanto,RN,Municipal,63,11.9,67.0,1
2403806,Florânia,RN,Estadual,18,16.7,33.3,0
2403806,Florânia,RN,Municipal,32,4.5,43.8,0
2403905,Francisco Dantas,RN,Municipal,19,7.9,78.9,1
2404408,Grossos,RN,Estadual,23,61.9,73.9,1
2404408,Grossos,RN,Municipal,61,7.6,65.3,1
2404853,Itajá,RN,Municipal,65,18.2,40.0,0
2405108,Jandaíra,RN,Estadual,17,18.3,23.5,0
2405108,Jandaíra,RN,Municipal,43,6.1,29.9,0
2405603,Jardim de Piranhas,RN,Estadual,20,12.5,35.0,0
2405603,Jardim de Piranhas,RN,Municipal,77,3.6,63.1,1
2407708,Montanhas,RN,Municipal,120,13.0,44.2,0
2407906,Monte das Gameleiras,RN,Municipal,31,7.7,32.9,0
2408201,Nísia Floresta,RN,Estadual,15,6.3,33.3,0
2408201,Nísia Floresta,RN,Municipal,272,3.6,49.8,0
2408409,Olho-d'Água do Borges,RN,Municipal,13,6.4,30.8,0
2408953,Rio do Fogo,RN,Municipal,88,3.7,31.6,0
2409100,Passa e Fica,RN,Estadual,13,9.8,53.8,0
2409100,Passa e Fica,RN,Municipal,86,3.3,41.1,0
2409407,Pau dos Ferros,RN,Estadual,110,14.9,43.0,0
2409407,Pau dos Ferros,RN,Municipal,100,5.2,38.9,0
2409506,Pedra Grande,RN,Municipal,40,6.3,44.5,0
2410306,Serra Caiada,RN,Municipal,66,3.4,40.5,0
2410603,Rafael Godeiro,RN,Municipal,19,6.1,67.2,1
2410702,Riacho da Cruz,RN,Municipal,16,16.8,37.5,0
2411056,Tibau,RN,Estadual,20,30.4,45.0,0
2411056,Tibau,RN,Municipal,18,21.8,22.2,0
2411403,Santana do Matos,RN,Estadual,38,29.7,64.0,1
2411403,Santana do Matos,RN,Municipal,21,4.2,51.9,0
2411809,São Fernando,RN,Municipal,27,8.9,64.9,1
2412559,São Miguel do Gostoso,RN,Municipal,81,3.6,30.5,0
2412609,São Paulo do Potengi,RN,Municipal,114,8.2,36.9,0
2412807,São Rafael,RN,Municipal,41,5.4,25.4,0
2412906,São Tomé,RN,Estadual,15,15.4,86.7,1
2412906,São Tomé,RN,Municipal,48,4.4,37.7,0
2413805,Taboleiro Grande,RN,Municipal,25,9.9,73.1,1
2413904,Taipu,RN,Estadual,30,9.8,68.2,1
2413904,Taipu,RN,Municipal,63,3.9,17.7,0
2414506,Umarizal,RN,Estadual,20,20.2,45.0,0
2414506,Umarizal,RN,Municipal,10,4.2,50.0,0
2414605,Upanema,RN,Estadual,22,19.0,22.7,0
2414605,Upanema,RN,Municipal,38,3.3,44.0,0
2414704,Várzea,RN,Municipal,35,10.0,45.7,0
2414803,Vera Cruz,RN,Municipal,132,11.3,43.5,0
2500502,Alagoinha,PB,Municipal,141,35.4,53.1,0
2500700,São João do Rio do Peixe,PB,Municipal,113,46.5,72.8,1
2500775,Aparecida,PB,Municipal,46,35.2,62.4,1
2500809,Araçagi,PB,Municipal,104,39.4,47.8,0
2501153,Areia de Baraúnas,PB,Municipal,22,33.6,36.4,0
2501906,Belém,PB,Municipal,99,33.3,34.7,0
2502201,Bom Jesus,PB,Municipal,19,53.0,68.4,1
2502409,Bonito de Santa Fé,PB,Municipal,83,21.0,60.9,1
2502805,Brejo do Cruz,PB,Municipal,97,52.4,51.6,0
2504702,Congo,PB,Municipal,32,57.2,40.7,0
2505006,Cubati,PB,Municipal,86,87.7,97.5,1
2505709,Dona Inês,PB,Municipal,79,34.2,96.3,1
2506301,Guarabira,PB,Municipal,422,14.7,59.6,0
2506707,Imaculada,PB,Estadual,23,58.3,50.1,0
2506707,Imaculada,PB,Municipal,77,77.1,39.7,0
2507309,Jacaraú,PB,Municipal,113,15.6,51.2,0
2507507,João Pessoa,PB,Estadual,476,40.0,51.6,0
2507507,João Pessoa,PB,Municipal,4971,15.9,55.5,0
2507606,Juarez Távora,PB,Municipal,50,24.2,35.8,0
2507705,Juazeirinho,PB,Municipal,150,34.1,45.5,0
2508802,Malta,PB,Municipal,59,58.6,48.8,0
2509057,Marcação,PB,Estadual,33,13.5,15.4,0
2509057,Marcação,PB,Municipal,96,43.3,24.2,0
2509396,Maturéia,PB,Municipal,84,39.5,60.8,1
2509800,Mulungu,PB,Estadual,26,22.9,88.5,1
2509800,Mulungu,PB,Municipal,55,21.1,54.1,0
2509909,Natuba,PB,Municipal,74,50.3,47.3,0
2511004,Pedra Branca,PB,Municipal,40,89.2,69.9,1
2511806,Pirpirituba,PB,Municipal,59,18.4,41.5,0
2511905,Pitimbu,PB,Municipal,182,61.6,51.6,0
2512408,Puxinanã,PB,Municipal,210,88.8,62.1,1
2512507,Queimadas,PB,Municipal,561,89.3,92.7,1
2513208,Santa Cruz,PB,Municipal,60,66.0,86.3,1
2513604,Santana dos Garrotes,PB,Municipal,38,46.5,52.8,0
